nombre,tags,paso_actual,propuesta_paso_a_paso
Affair,"citrico, clasico","1) Llenar vaso highball con hielo.
2) Agregar Schnapps de frutilla, Jugo de naranja y Jugo de arandano.
3) Completar con Agua tonica y mezclar suavemente.","1) Agregar Schnapps de frutilla, Jugo de naranja, Jugo de arandano y Agua tonica a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Affinity,"clasico, vino","1) Agregar Whisky escoces, Vermut dulce, Vermut seco y Amargo de naranja a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Whisky escoces, Vermut dulce, Vermut seco y Amargo de naranja a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Afterglow,"citrico, clasico, refrescante","1) Agregar Granadina, Jugo de naranja y Jugo de piña a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.","1) Agregar Granadina, Jugo de naranja y Jugo de piña a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Alexander,"clasico, gin","1) Agregar Gin, Crema de cacao y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Nuez moscada.","1) Agregar Gin, Crema de cacao, Crema ligera y Nuez moscada a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Algonquin,"citrico, clasico","1) Agregar Whisky mezclado, Vermut seco y Jugo de piña a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Whisky mezclado, Vermut seco y Jugo de piña a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Allegheny,"citrico, clasico","1) Agregar Vermut seco, Whiskey Bourbon, Brandy de mora y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Cascara de limon.","1) Agregar Vermut seco, Whiskey Bourbon, Brandy de mora, Jugo de limon y Cascara de limon a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Almeria,"clasico, cremoso","1) Agregar Ron oscuro, Kahlua y Clara de huevo a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Ron oscuro, Kahlua y Clara de huevo a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Alsterwasser,"clasico, estadounidense, rapido, refrescante, verano","1) Agregar Cerveza lager y Limonada a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso pinta.","1) Agregar Cerveza lager y Limonada a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso pinta"
Amaretto Sour,"amargo, citrico, cremoso, moderno, sour, top-bars","1) Agregar Amaretto, Jugo de limon, Jarabe simple, Clara de huevo y Amargo de angostura a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo.","1) Agregar Amaretto, Jugo de limon, Jarabe simple, Clara de huevo y Amargo de angostura a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso bajo"
Americano,"amargo, campari, clasico, estadounidense, vino","1) Agregar Campari y Vermut dulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso collins bien frio.
4) Decorar con Cascara de limon y Cascara de naranja.","1) Agregar Campari, Vermut dulce, Cascara de limon y Cascara de naranja a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso collins"
Apello,"citrico, clasico, refrescante","1) Agregar Jugo de naranja, Jugo de pomelo y Jugo de manzana a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Cereza marrasquino.","1) Agregar Jugo de naranja, Jugo de pomelo, Jugo de manzana y Cereza marrasquino a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Aperol Spritz,"aperitivo, clasico, espumante, italiano, rapido, verano","1) Llenar copa de vino con hielo.
2) Agregar Aperol.
3) Completar con Prosecco y Agua con gas y mezclar suavemente.
4) Decorar con Naranja.","1) Agregar Prosecco, Aperol, Agua con gas y Naranja a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de vino"
Applecar,"citrico, clasico","1) Agregar Applejack, Triple sec y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Applejack, Triple sec y Jugo de limon a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Artillery,"amargo, clasico, gin, vino","1) Agregar Vermut dulce, Gin y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Vermut dulce, Gin y Amargo de angostura a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
AT&T,"clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Vodka y Gin.
3) Completar con Agua tonica y mezclar suavemente.","1) Agregar Vodka, Gin y Agua tonica a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Avalanche,clasico,"1) Agregar Crown Royal, Kahlua y Crema a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso highball bien frio.","1) Agregar Crown Royal, Kahlua y Crema a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso highball"
Avalon,"citrico, clasico","1) Agregar Vodka, Pisang Ambon, Jugo de manzana, Jugo de limon y Limonada a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.","1) Agregar Vodka, Pisang Ambon, Jugo de manzana, Jugo de limon y Limonada a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Aviation,"citrico, clasico, gin","1) Agregar Gin, Jugo de limon y Licor de maraschino a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Gin, Jugo de limon y Licor de maraschino a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
B-52,clasico,"1) Agregar Baileys crema irlandesa, Grand Marnier y Kahlua al vaso o al recipiente de mezcla.
2) Enfriar si corresponde.
3) Servir en vaso de shot.","1) Agregar Baileys crema irlandesa, Grand Marnier y Kahlua a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso de shot"
B-53,clasico,"1) Agregar Kahlua, Sambuca y Grand Marnier al vaso o al recipiente de mezcla.
2) Enfriar si corresponde.
3) Servir en vaso collins.","1) Agregar Kahlua, Sambuca y Grand Marnier a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Baby Eskimo,"clasico, cremoso","1) Agregar Kahlua, Leche y Helado de vainilla a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.","1) Agregar Kahlua, Leche y Helado de vainilla a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Bahama Mama,"citrico, clasico","1) Agregar Ron, Ron oscuro, Licor de banana, Granadina, Jugo de piña, Jugo de naranja y Mezcla agridulce a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.","1) Agregar Ron, Ron oscuro, Licor de banana, Granadina, Jugo de piña, Jugo de naranja y Mezcla agridulce a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Balmoral,"amargo, clasico, vino","1) Agregar Whisky escoces, Vermut dulce, Vermut seco y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Whisky escoces, Vermut dulce, Vermut seco y Amargo de angostura a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Barracuda,"citrico, clasico, espumante","1) Agregar Ron, Galliano, Jugo de piña y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en copa margarita y completar con Prosecco.","1) Agregar Ron, Galliano, Jugo de piña, Jugo de lima y Prosecco a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa margarita"
Batanga,"citrico, clasico, mexicano, rapido, tequila","1) Llenar vaso highball con hielo.
2) Agregar Tequila y Jugo de lima.
3) Completar con Coca-Cola y mezclar suavemente.
4) Decorar con Sal.","1) Agregar Tequila, Jugo de lima, Coca-Cola y Sal a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Batida,"brasileno, citrico, clasico, cremoso, frutal","1) Agregar Cachaca, Leche de coco, Jugo de maracuya y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo.","1) Agregar Cachaca, Leche de coco, Jugo de maracuya, Azucar y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso bajo"
Bellini,"clasico, espumante","1) Agregar Champagne y Schnapps de durazno a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa flauta.","1) Agregar Champagne y Schnapps de durazno a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa flauta"
Between the Sheets,"citrico, clasico, frances","1) Agregar Cognac, Ron blanco, Triple sec y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe.","1) Agregar Cognac, Ron blanco, Triple sec y Jugo de limon a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa coupe"
Bible Belt,"citrico, clasico","1) Agregar Southern Comfort, Triple sec, Lima y Mezcla sour a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso highball bien frio.","1) Agregar Southern Comfort, Triple sec, Lima y Mezcla sour a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso highball"
Big Red,clasico,"1) Agregar Baileys crema irlandesa y Goldschlager a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.","1) Agregar Baileys crema irlandesa y Goldschlager a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso de shot"
Bijou,"clasico, gin, vino","1) Agregar Amargo de naranja, Green Chartreuse, Gin y Vermut dulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Amargo de naranja, Green Chartreuse, Gin y Vermut dulce a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Blackthorn,"clasico, gin, vino","1) Agregar Vermut dulce y Sloe gin a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cascara de limon.","1) Agregar Vermut dulce, Sloe gin y Cascara de limon a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Bluebird,"amargo, clasico, gin","1) Agregar Gin, Triple sec, Curacao azul y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cereza marrasquino y Cascara de limon.","1) Agregar Gin, Triple sec, Curacao azul, Amargo de angostura, Cereza marrasquino y Cascara de limon a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Bob Marley,clasico,"1) Agregar Licor de melon, Jägermeister y Goldschlager a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.","1) Agregar Licor de melon, Jägermeister y Goldschlager a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso de shot"
Boomerang,"amargo, clasico, gin","1) Agregar Gin, Vermut seco, Amargo de angostura y Licor de maraschino a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cereza marrasquino.","1) Agregar Gin, Vermut seco, Amargo de angostura, Licor de maraschino y Cereza marrasquino a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Bora Bora,"citrico, clasico, frutal, refrescante","1) Agregar Jugo de piña, Jugo de maracuya, Jugo de limon y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.","1) Agregar Jugo de piña, Jugo de maracuya, Jugo de limon y Granadina a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Borgoña,"chileno, clasico, frutal, verano, vino","1) Agregar Vino tinto, Frutillas, Azucar y Cointreau a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso corto.
4) Decorar con Durazno.","1) Agregar Vino tinto, Frutillas, Durazno, Azucar, Cointreau y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso corto"
Boston Sour,"citrico, clasico, cremoso, sour","1) Agregar Whisky mezclado, Limon, Azucar flor y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Limon y Cereza marrasquino.","1) Agregar Whisky mezclado, Limon, Azucar flor, Clara de huevo, Limon y Cereza marrasquino a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa sour"
Boulevardier,"amargo, campari, clasico, estadounidense, gin, rapido, vino","1) Agregar Whiskey Bourbon, Campari y Vermut rojo a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso bajo bien frio.
4) Decorar con Naranja.","1) Agregar Whiskey Bourbon, Campari, Vermut rojo y Naranja a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso bajo"
Boxcar,"citrico, clasico, cremoso, gin","1) Agregar Gin, Triple sec, Jugo de limon, Granadina y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.","1) Agregar Gin, Triple sec, Jugo de limon, Granadina y Clara de huevo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa sour"
Brain Fart,"citrico, clasico","1) Agregar Everclear, Vodka, Mountain Dew, Surge, Jugo de limon y Ron a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en ponchera.","1) Agregar Everclear, Vodka, Mountain Dew, Surge, Jugo de limon y Ron a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en ponchera"
Bramble,"citrico, clasico, gin","1) Agregar Gin, Jugo de limon, Jarabe simple y Crema de mora a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.","1) Agregar Gin, Jugo de limon, Jarabe simple y Crema de mora a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso old fashioned"
Brigadier,clasico,"1) Agregar Hot Chocolate, Green Chartreuse y Cherry Heering a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en taza bien frio.","1) Agregar Hot Chocolate, Green Chartreuse y Cherry Heering a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en taza"
Broadside,"amargo, clasico","1) Agregar Ron 151 grados, Whisky escoces, Amargo de angostura y Ajenjo a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso highball bien frio.","1) Agregar Ron 151 grados, Whisky escoces, Amargo de angostura, Ajenjo y Hielo a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso highball"
Brooklyn,"amargo, clasico","1) Agregar Whisky de centeno, Vermut seco, Licor de maraschino y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cereza marrasquino.","1) Agregar Whisky de centeno, Vermut seco, Licor de maraschino, Amargo de angostura y Cereza marrasquino a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Bubble Gum,"citrico, clasico","1) Agregar Vodka, Licor de banana, Jugo de naranja y Schnapps de durazno a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso de shot.","1) Agregar Vodka, Licor de banana, Jugo de naranja y Schnapps de durazno a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso de shot"
Buccaneer,clasico,"1) Agregar Corona y Bacardi Limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso pilsner.","1) Agregar Corona y Bacardi Limon a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso pilsner"
Bumble Bee,clasico,"1) Agregar Baileys crema irlandesa, Kahlua y Sambuca a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.","1) Agregar Baileys crema irlandesa, Kahlua y Sambuca a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso de shot"
Cafe Savoy,"cafe, clasico, cremoso, ingles","1) Agregar Cafe, Leche, Triple sec y Brandy a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en taza bien frio.","1) Agregar Cafe, Leche, Triple sec y Brandy a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en taza"
Caipirinha,"citrico, clasico","1) Agregar Azucar y Cachaca a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Lima.","1) Agregar Azucar, Lima y Cachaca a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso old fashioned"
Caipirissima,"citrico, clasico","1) Agregar Lima, Azucar y Ron blanco a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.","1) Agregar Lima, Azucar, Ron blanco y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Caipiroska,"brasileno, citrico, clasico, rapido, refrescante","1) Agregar Vodka, Lima y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo.","1) Agregar Vodka, Lima, Azucar y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso bajo"
Campari Beer,"amargo, campari, clasico","1) Agregar Cerveza lager y Campari a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en jarro cervecero.","1) Agregar Cerveza lager y Campari a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en jarro cervecero"
Cantarito,"citrico, clasico, mexicano, tequila","1) Llenar tarro de barro con hielo.
2) Agregar Tequila, Jugo de pomelo, Jugo de naranja y Jugo de lima.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Sal.","1) Agregar Tequila, Jugo de pomelo, Jugo de naranja, Jugo de lima, Agua con gas y Sal a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en tarro de barro"
Carajillo,"cafe, clasico, espanol, rapido, sobremesa","1) Agregar Licor 43 y Cafe a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo.","1) Agregar Licor 43, Cafe y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso bajo"
Casa Blanca,"citrico, clasico","1) Agregar Ron claro, Triple sec, Jugo de lima y Licor de maraschino a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Ron claro, Triple sec, Jugo de lima y Licor de maraschino a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Casino,"citrico, clasico, gin","1) Agregar Gin, Licor de maraschino, Jugo de limon y Amargo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Cereza marrasquino.","1) Agregar Gin, Licor de maraschino, Jugo de limon, Amargo de naranja y Cereza marrasquino a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Casino Royale,"citrico, clasico, gin","1) Agregar Gin, Jugo de limon, Licor de maraschino, Amargo de naranja y Yema de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.","1) Agregar Gin, Jugo de limon, Licor de maraschino, Amargo de naranja y Yema de huevo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa sour"
Cherry Rum,clasico,"1) Agregar Ron claro, Brandy de cereza y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Ron claro, Brandy de cereza y Crema ligera a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Chicago Fizz,"citrico, clasico, cremoso","1) Agregar Ron claro, Oporto, Limon, Azucar flor y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso highball y completar con Agua con gas.","1) Agregar Ron claro, Oporto, Limon, Azucar flor, Clara de huevo y Agua con gas a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Chilcano,"amargo, citrico, clasico, gin, peruano, pisco, rapido, refrescante","1) Llenar vaso highball con hielo.
2) Agregar Pisco, Jugo de lima y Amargo de angostura.
3) Completar con Ginger ale y mezclar suavemente.","1) Agregar Pisco, Jugo de lima, Ginger ale, Amargo de angostura y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Chocolate Drink,"clasico, cremoso, refrescante","1) Agregar Leche y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Chocolate.","1) Agregar Chocolate, Leche y Agua a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en taza"
Chocolate Milk,"clasico, cremoso","1) Agregar Licor de chocolate, Leche y Amaretto al vaso o al recipiente de mezcla.
2) Enfriar si corresponde.
3) Servir en shot glass.","1) Agregar Licor de chocolate, Leche y Amaretto a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en shot copa"
Citrus Coke,clasico,"1) Llenar vaso highball con hielo.
2) Agregar Bacardi Limon.
3) Completar con Coca-Cola y mezclar suavemente.","1) Agregar Bacardi Limon y Coca-Cola a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
City Slicker,"citrico, clasico","1) Agregar Brandy, Triple sec y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Brandy, Triple sec y Jugo de limon a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Clery,"chileno, clasico, frutal, verano, vino","1) Agregar Vino blanco, Frutillas y Cointreau a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso corto.
4) Decorar con Durazno.","1) Agregar Vino blanco, Frutillas, Durazno, Cointreau y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso corto"
Clove Cocktail,"clasico, gin, vino","1) Agregar Vermut dulce, Sloe gin y Vino a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Vermut dulce, Sloe gin y Vino a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
